Team,QB,RB/FB,WR,TE,OL,DL,LB,DB,K/P/LS
Arizona Cardinals,12.4,1.9,30.1,4.1,54.3,33.7,34.7,24.5,4.5
Atlanta Falcons,49.5,5.6,12.7,10.5,36.7,35.3,30.6,14.9,0.7
Baltimore Ravens,23,7.9,12.4,18.9,48.2,8.5,14.2,51.4,9.1
Buffalo Bills,16.4,4.2,29.2,2.2,42.3,23,32.8,44.5,4
Carolina Panthers,18.9,16,32.2,1.9,47.9,24.8,23.1,19.7,0.9
Chicago Bears,20.7,8.2,2.7,7.2,18.1,22.8,67.6,22,3.2
Cincinnati Bengals,9.9,15.1,19.5,1.8,20.9,39.3,5.8,38.4,0.9
Cleveland Browns,26.7,15.5,19.5,15.7,47.9,21.4,7.9,34.7,2.1
Dallas Cowboys,37.3,23.4,29.2,8,60.9,37.4,7.8,22.2,3.7
Denver Broncos,2.2,5.7,33.3,5.8,35.8,20.1,17.1,39.5,8.8
Detroit Lions,31.9,7.5,3.5,10.5,43.5,15.4,42,16.4,1
Green Bay Packers,49.8,12.1,11.5,6.4,37,30.5,57.3,24.4,5.6
Houston Texans,41.6,3.8,19.9,1.7,42.7,9.2,8.3,18.9,7.1
Indianapolis Colts,29.9,8.1,9.6,9.3,41.2,34.4,15,15.1,4.3
Jacksonville Jaguars,11.1,7,18.6,7.5,18.9,26.5,26.8,33.8,4.5
Kansas City Chiefs,36.6,3.7,24.6,10.7,22.8,62,16.3,4.4,5.1
Los Angeles Chargers,8.3,8.5,23.6,2.7,39.7,8,37,25.8,NA
Los Angeles Rams,23.8,5.7,38.1,10.6,29.9,40.9,23.2,31.6,4.2
Las Vegas Raiders,19.9,13.6,4.7,8.1,33.1,42.1,29.8,13.2,7.2
Miami Dolphins,8.3,2.7,18.8,5.9,19.5,16.8,12,53.1,4.1
Minnesota Vikings,47,18.2,26.4,2.7,22.5,52.5,28.2,20.2,1
New England Patriots,4.7,4,25.9,31.1,31.2,28.6,29.8,30.5,3.1
New Orleans Saints,17.2,19.1,29.6,6,63.6,53.4,16.2,57.9,7.7
New York Giants,9.2,11.1,40.9,9.1,20.6,36.5,22.8,55.9,8.2
New York Jets,8,5.1,20.2,4,39.5,47.7,21.3,11.2,2.8
Philadelphia Eagles,3.4,2.6,11.5,6.3,63.8,61.8,3.4,38.9,7
Pittsburgh Steelers,14.4,10.8,11.9,8.1,16.1,43.5,50,21.2,8
Seattle Seahawks,37.9,11.2,16.7,3.1,17.9,32.9,27.3,16.4,10.5
San Francisco 49ers,34.7,4.9,6.4,17,36.2,47.9,17.4,22.4,7.8
Tampa Bay Buccaneers,19.7,1.3,23.6,13.1,39.8,23.7,47.9,7.8,6.9
Tennessee Titans,38.6,17,17.8,1.6,37.1,16.2,33.1,34.4,3.8
Washington Football Team,2.9,4,18.5,8.3,40.6,43.8,5.1,47.5,3.9